Subject	SampleID	FileInput	Sequencing	SequencingTwoState	SelectionTavanasa	SelectionVals	TavanasaAndValsAll	TavanasaAndValsAPS	Larvae	APSVals	APSTavanasa	SelectionMilt	SelectionWater	SelectionSkins	SelectionBodyparts	SampleIDCAN	SeqConc	SeqPlateRow	SeqPlateColumn	NewIDs	SampleID2	Tissue	concentration	Treatment	TreatmentOriginal	ValsTissues	96well	Population	Extraction	FishID2	Tissue2	Original	Extraction	Number	Origin	Family
LW65-Extraction164	LW65	LW65-Extraction164_S9_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	yes	no	no	no	no	no	no	LW65	2MB	1	9	LW65Extraction164	F3	larvae	low	larvaeVirkon	larvaeVirkon	NA	1	Tavanasa	Extraction164	T4	larva	Extraction164	Tavanasa	F4		
LW66-Extraction165	LW66	LW66-Extraction165_S21_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	yes	no	no	no	no	no	no	LW66	2MB	2	9	LW66Extraction165	F4	larvae	low	larvaeVirkon	larvaeVirkon	NA	1	Tavanasa	Extraction165	T6	larva	Extraction165	Tavanasa	F6		
LW67-Extraction166	LW67	LW67-Extraction166_S33_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	yes	no	no	no	no	no	no	LW67	2MB	3	9	LW67Extraction166	F5	larvae	low	larvaeVirkon	larvaeVirkon	NA	1	Tavanasa	Extraction166	T8	larva	Extraction166	Tavanasa	F8		
LW68-Extraction167	LW68	LW68-Extraction167_S45_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	yes	no	no	no	no	no	no	LW68	2MB	4	9	LW68Extraction167	F6	larvae	low	larvaeVirkon	larvaeVirkon	NA	1	Tavanasa	Extraction167	T9	larva	Extraction167	Tavanasa	F9		
LW11-29	LW11	LW11-29_S98_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	Tavanasa	no	yes	no	no	no	no	sperm	no	no	sperm	LW11	NA	3	2	LW11Extraction29	T1	sperm	low	Milt	Milt	NA	1	Tavanasa	Extraction29	T1	sperm	Extraction29	Tavanasa	NA		
LW12-30	LW12	LW12-30_S102_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	Tavanasa	no	yes	no	no	no	no	sperm	no	no	sperm	LW12	NA	4	2	LW12Extraction30	T2	sperm	low	Milt	Milt	NA	1	Tavanasa	Extraction30	T2	sperm	Extraction30	Tavanasa	NA		
LW13-31	LW13	LW13-31_S107_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	Tavanasa	no	yes	no	no	no	no	sperm	no	no	sperm	LW13	NA	5	2	LW13Extraction31	T3	sperm	low	Milt	Milt	NA	1	Tavanasa	Extraction31	T3	sperm	Extraction31	Tavanasa	NA		
LW14-32	LW14	LW14-32_S116_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	Tavanasa	no	yes	no	no	no	no	sperm	no	no	sperm	LW14	NA	6	2	LW14Extraction32	T4	sperm	low	Milt	Milt	NA	1	Tavanasa	Extraction32	T4	sperm	Extraction32	Tavanasa	NA		
LW15-33	LW15	LW15-33_S127_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	Tavanasa	no	yes	no	no	no	no	sperm	no	no	sperm	LW15	NA	7	2	LW15Extraction33	T5	sperm	low	Milt	Milt	NA	1	Tavanasa	Extraction33	T5	sperm	Extraction33	Tavanasa	NA		
LW16-34	LW16	LW16-34_S131_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	Tavanasa	no	yes	no	no	no	no	sperm	no	no	sperm	LW16	NA	8	2	LW16Extraction34	T6	sperm	low	Milt	Milt	NA	1	Tavanasa	Extraction34	T6	sperm	Extraction34	Tavanasa	NA		
LW17-35	LW17	LW17-35_S134_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	Tavanasa	no	yes	no	no	no	no	sperm	no	no	sperm	LW17	NA	1	3	LW17Extraction35	T7	sperm	low	Milt	Milt	NA	1	Tavanasa	Extraction35	T7	sperm	Extraction35	Tavanasa	NA		
LW18-36	LW18	LW18-36_S135_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	Tavanasa	no	yes	no	no	no	no	sperm	no	no	sperm	LW18	NA	2	3	LW18Extraction36	T8	sperm	low	Milt	Milt	NA	1	Tavanasa	Extraction36	T8	sperm	Extraction36	Tavanasa	NA		
LW19-37	LW19	LW19-37_S136_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	Tavanasa	no	yes	no	no	no	no	sperm	no	no	sperm	LW19	NA	3	3	LW19Extraction37	T9	sperm	low	Milt	Milt	NA	1	Tavanasa	Extraction37	T9	sperm	Extraction37	Tavanasa	NA		
LW20-38	LW20	LW20-38_S137_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	Tavanasa	no	yes	no	no	no	no	sperm	no	no	sperm	LW20	NA	4	3	LW20Extraction38	T10	sperm	low	Milt	Milt	NA	1	Tavanasa	Extraction38	T10	sperm	Extraction38	Tavanasa	NA		
LW72-Extraction99	LW72bad	LW72-Extraction99_S93_L001.assembled_filtered.nonchimera.fasta	very_bad_first_run	first_run	Tavanasa	NA	NA	NA	no	no	no	no	water	no	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Tavanasa	NA	NA	NA	NA	NA	NA		
LW1-Extraction117	LW1	LW1-Extraction117_S1_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	no	no	no	no	no	skin	skin	LW1	MB20	1	1	LW1Extraction117	T1	skin	veryLow	Skin	Skin	NA	1	Tavanasa	Extraction117	T1	skin	Extraction117	Tavanasa	F1		
LW10-Extraction126	LW10	LW10-Extraction126_S14_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	no	no	no	no	no	skin	skin	LW10	MB20	2	2	LW10Extraction126	T10	skin	veryLow	Skin	Skin	NA	1	Tavanasa	Extraction125	T10	skin	Extraction126	Tavanasa	F10		
LW2-Extraction118	LW2	LW2-Extraction118_S13_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	no	no	no	no	no	skin	skin	LW2	MB20	2	1	LW2Extraction118	T2	skin	veryLow	Skin	Skin	NA	1	Tavanasa	Extraction118	T2	skin	Extraction118	Tavanasa	F2		
LW3-Extraction119	LW3	LW3-Extraction119_S25_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	no	no	no	no	no	skin	skin	LW3	MB20	3	1	LW3Extraction119	T3	skin	veryLow	Skin	Skin	NA	1	Tavanasa	Extraction119	T3	skin	Extraction119	Tavanasa	F3		
LW4-Extraction120	LW4	LW4-Extraction120_S37_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	no	no	no	no	no	skin	skin	LW4	MB20	4	1	LW4Extraction120	T4	skin	veryLow	Skin	Skin	NA	1	Tavanasa	Extraction120	T4	skin	Extraction120	Tavanasa	F4		
LW5-Extraction121	LW5	LW5-Extraction121_S49_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	no	no	no	no	no	skin	skin	LW5	MB20	5	1	LW5Extraction121	T5	skin	veryLow	Skin	Skin	NA	1	Tavanasa	Extraction121	T5	skin	Extraction121	Tavanasa	F5		
LW6-Extraction122	LW6	LW6-Extraction122_S61_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	no	no	no	no	no	skin	skin	LW6	MB20	6	1	LW6Extraction122	T6	skin	veryLow	Skin	Skin	NA	1	Tavanasa	Extraction122	T6	skin	Extraction122	Tavanasa	F6		
LW7-Extraction123	LW7	LW7-Extraction123_S73_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	no	no	no	no	no	skin	skin	LW7	MB10to20	7	1	LW7Extraction123	T7	skin	veryLow	Skin	Skin	NA	1	Tavanasa	Extraction123	T7	skin	Extraction123	Tavanasa	F7		
LW8-Extraction124	LW8	LW8-Extraction124_S85_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	no	no	no	no	no	skin	skin	LW8	MB20	8	1	LW8Extraction124	T8	skin	veryLow	Skin	Skin	NA	1	Tavanasa	Extraction124	T8	skin	Extraction124	Tavanasa	F8		
LW9-Extraction125	LW9	LW9-Extraction125_S2_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	no	no	no	no	no	skin	skin	LW9	MB20	1	2	LW9Extraction125	T9	skin	veryLow	Skin	Skin	NA	1	Tavanasa	Extraction124	T9	skin	Extraction125	Tavanasa	F9		
LW69-Extraction22	LW69	LW69-Extraction22_S57_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	no	no	no	no	no	no	unfertilizedEgg	LW69	1MB	5	9	LW69Extraction22	T11	mom	low	unfertEggs	unfertEggs	NA	1	Tavanasa	Extraction22	T11	unfertilizedEgg	Extraction22	Tavanasa	NA		
LW70-Extraction25	LW70	LW70-Extraction25_S69_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	no	no	no	no	no	no	unfertilizedEggReplicate	LW70	1MB	6	9	LW70Extraction25	T11	mom	low	unfertEggs	unfertEggs	NA	1	Tavanasa	Extraction25	T11	unfertilizedEggReplicate	Extraction25	Tavanasa	NA		
LW71-Extraction26	LW71	LW71-Extraction26_S81_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	no	no	no	no	no	no	unfertilizedEggReplicate	LW71	1MB	7	9	LW71Extraction26	T11	mom	low	unfertEggs	unfertEggs	NA	1	Tavanasa	Extraction26	T11	unfertilizedEggReplicate	Extraction26	Tavanasa	NA		
LW77-Extraction87	LW77	LW77-Extraction87_S58_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	no	no	no	no	water	no	no	LW77	MB20	5	10	LW77Extraction87	F1	wellWater	veryLow	wellWater	wellWater	NA	1	Tavanasa	Extraction87	T1	wellWater	Extraction87	Tavanasa	F1		
LW79-Extraction89	LW79	LW79-Extraction89_S82_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	no	no	no	no	water	no	no	LW79	MB20	7	10	LW79Extraction89	F3	wellWater	veryLow	wellWater	wellWater	NA	1	Tavanasa	Extraction89	T4	wellWater	Extraction89	Tavanasa	F4		
LW80-Extraction90	LW80	LW80-Extraction90_S94_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	no	no	no	no	water	no	no	LW80	MB20	8	10	LW80Extraction90	F4	wellWater	veryLow	wellWater	wellWater	NA	1	Tavanasa	Extraction90	T6	wellWater	Extraction90	Tavanasa	F6		
LW81-Extraction91	LW81	LW81-Extraction91_S11_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	no	no	no	no	water	no	no	LW81	MB20	1	11	LW81Extraction91	F5	wellWater	veryLow	wellWater	wellWater	NA	1	Tavanasa	Extraction91	T8	wellWater	Extraction91	Tavanasa	F8		
LW83-Extraction93	LW83	LW83-Extraction93_S35_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	no	no	no	no	water	no	no	LW83	MB20	3	11	LW83Extraction93	F1	wellWater	veryLow	wellWater	wellWater	NA	1	Tavanasa	Extraction93	T1	wellWater	Extraction93	Tavanasa	F1b		
LW84-Extraction94	LW84	LW84-Extraction94_S47_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	no	no	no	no	water	no	no	LW84	2MB	4	11	LW84Extraction94	F2	wellWater	veryLow	wellWater	wellWater	NA	1	Tavanasa	Extraction94	T2	wellWater	Extraction94	Tavanasa	F2b		
LW86-96	LW86	LW86-96_S148_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	Tavanasa	no	yes	no	no	no	no	no	water	no	no	LW86	NA	6	11	LW86Extraction96	F4	wellWater	veryLow	wellWater	wellWater	NA	1	Tavanasa	Extraction96	T6	wellWater	Extraction96	Tavanasa	F6b		
LW87-97	LW87	LW87-97_S149_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	Tavanasa	no	yes	no	no	no	no	no	water	no	no	LW87	REP	7	11	LW87Extraction97	F5	wellWater	veryLow	wellWater	wellWater	NA	1	Tavanasa	Extraction97	T8	wellWater	Extraction97	Tavanasa	F8b		
LW115-Extraction112	LW115	LW115-Extraction112_S123_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW115	2MB	3	3	LW115Extraction112	F21	APS	low	APSbac	APSbac	APSbac	2	Vals	Extraction112	T31	APS	Extraction112	Vals	F21b		
LW118-Extraction136	LW118	LW118-Extraction136_S159_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW118	1MB	6	3	LW118Extraction136	F24	APS	low	APSbac	APSbac	APSbac	2	Vals	Extraction136	T38	APS	Extraction136	Vals	F28b		
LW120-Extraction139	LW120	LW120-Extraction139_S183_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW120	2MB	8	3	LW120Extraction139	F21	APS	low	APSbac	APSbac	APSbac	2	Vals	Extraction139	T31	APS	Extraction139	Vals	F21b		
LW122-Extraction141	LW122	LW122-Extraction141_S112_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW122	1MB	2	4	LW122Extraction141	F23	APS	low	APSbac	APSbac	APSbac	2	Vals	Extraction141	T33	APS	Extraction141	Vals	F23b		
LW123-Extraction142	LW123	LW123-Extraction142_S124_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW123	2MB	3	4	LW123Extraction142	F24	APS	low	APSbac	APSbac	APSbac	2	Vals	Extraction142	T38	APS	Extraction142	Vals	F28b		
LW125-Extraction133	LW125	LW125-Extraction133_S148_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW125	2MB	5	4	LW125Extraction133	F21	APS	low	APSbac	APSbac	APSbac	2	Vals	Extraction133	T31	APS	Extraction133	Vals	F21b		
LW126-Extraction151	LW126	LW126-Extraction151_S160_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW126	2MB	6	4	LW126Extraction151	F22	APS	low	APSbac	APSbac	APSbac	2	Vals	Extraction151	T32	APS	Extraction151	Vals	F22b		
LW128-Extraction153	LW128	LW128-Extraction153_S184_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW128	2MB	8	4	LW128Extraction153	F24	APS	low	APSbac	APSbac	APSbac	2	Vals	Extraction153	T38	APS	Extraction153	Vals	F28b		
LW165-Extraction155	LW165	LW165-Extraction155_S153_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW165	2MB	5	9	LW165Extraction155	F26	APS	low	APSbac	APSbac	APSbac	2	Vals	Extraction155	T40	APS	Extraction155	Vals	F30b		
LW116-134	LW116	LW116-134_S99_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW116	NA	4	3	LW116Extraction134	F22	APS	low	APSbac	APSbac	APSbac	2	Vals	Extraction134	T32	APS	Extraction134	Vals	F22b		
LW117-135	LW117	LW117-135_S100_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW117	NA	5	3	LW117Extraction135	F23	APS	low	APSbac	APSbac	APSbac	2	Vals	Extraction135	T33	APS	Extraction135	Vals	F23b		
LW119-137	LW119	LW119-137_S101_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW119	REP	7	3	LW119Extraction137	F25	APS	low	APSbac	APSbac	APSbac	2	Vals	Extraction137	T39	APS	Extraction137	Vals	F29b		
LW121-140	LW121	LW121-140_S103_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW121	NA	1	4	LW121Extraction140	F22	APS	low	APSbac	APSbac	APSbac	2	Vals	Extraction140	T32	APS	Extraction140	Vals	F22b		
LW124-143	LW124	LW124-143_S104_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW124	NA	4	4	LW124Extraction143	F25	APS	low	APSbac	APSbac	APSbac	2	Vals	Extraction143	T39	APS	Extraction143	Vals	F29b		
LW127-152	LW127	LW127-152_S105_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW127	REP	7	4	LW127Extraction152	F23	APS	low	APSbac	APSbac	APSbac	2	Vals	Extraction152	T33	APS	Extraction152	Vals	F23b		
LW129-154	LW129	LW129-154_S106_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW129	REP	1	5	LW129Extraction154	F25	APS	low	APSbac	APSbac	APSbac	2	Vals	Extraction154	T39	APS	Extraction154	Vals	F29b		
LW163-138	LW163	LW163-138_S132_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW163	REP	3	9	LW163Extraction138	F26	APS	low	APSbac	APSbac	APSbac	2	Vals	Extraction138	T40	APS	Extraction138	Vals	F30b		
LW164-144	LW164	LW164-144_S133_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW164	NA	4	9	LW164Extraction144	F26	APS	low	APSbac	APSbac	APSbac	2	Vals	Extraction144	T40	APS	Extraction144	Vals	F30b		
LW119-Extraction137	LW119bad	LW119-Extraction137_S171_L001.assembled_filtered.nonchimera.fasta	very_bad_first_run	first_run	Vals	NA	NA	NA	no	yes	no	no	no	no	no	NA	NA	NA	NA	NA	NA	NA	NA	APSbac	APSbac	APSbac	NA	Vals	NA	T39	APS	NA	NA	NA		
LW127-Extraction152	LW127bad	LW127-Extraction152_S172_L001.assembled_filtered.nonchimera.fasta	very_bad_first_run	first_run	Vals	NA	NA	NA	no	yes	no	no	no	no	no	NA	NA	NA	NA	NA	NA	NA	NA	APSbac	APSbac	APSbac	NA	Vals	NA	T33	APS	NA	NA	NA		
LW129-Extraction154	LW129bad	LW129-Extraction154_S101_L001.assembled_filtered.nonchimera.fasta	very_bad_first_run	first_run	Vals	NA	NA	NA	no	yes	no	no	no	no	no	NA	NA	NA	NA	NA	NA	NA	NA	APSbac	APSbac	APSbac	NA	Vals	NA	T39	APS	NA	NA	NA		
LW133-Extraction147	LW133bad	LW133-Extraction147_S149_L001.assembled_filtered.nonchimera.fasta	very_bad_first_run	first_run	Vals	NA	NA	NA	no	no	no	no	water	no	no	NA	NA	NA	NA	NA	NA	NA	NA	APSbac	APSbac	APSbac	NA	Vals	NA	T31	APS	NA	NA	NA		
LW163-Extraction138	LW163bad	LW163-Extraction138_S129_L001.assembled_filtered.nonchimera.fasta	very_bad_first_run	first_run	Vals	NA	NA	NA	no	yes	no	no	no	no	no	NA	NA	NA	NA	NA	NA	NA	NA	APSbac	APSbac	APSbac	NA	Vals	NA	T40	APS	NA	NA	NA		
LW100-Extraction101	LW100	LW100-Extraction101_S133_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW100	MB10to20	4	1	LW100Extraction101	F21	APS	low	APSctrl	APSctrl	APSctrl	2	Vals	Extraction101	T31	APS	Extraction101	Vals	F21		
LW101-Extraction102	LW101	LW101-Extraction102_S145_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW101	MB10to20	5	1	LW101Extraction102	F22	APS	low	APSctrl	APSctrl	APSctrl	2	Vals	Extraction102	T32	APS	Extraction102	Vals	F22		
LW102-Extraction105	LW102	LW102-Extraction105_S157_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW102	2MB	6	1	LW102Extraction105	F23	APS	low	APSctrl	APSctrl	APSctrl	2	Vals	Extraction105	T33	APS	Extraction105	Vals	F23		
LW103-Extraction106	LW103	LW103-Extraction106_S169_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW103	MB10to20	7	1	LW103Extraction106	F24	APS	low	APSctrl	APSctrl	APSctrl	2	Vals	Extraction106	T38	APS	Extraction106	Vals	F28		
LW104-Extraction108	LW104	LW104-Extraction108_S181_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW104	2MB	8	1	LW104Extraction108	F25	APS	low	APSctrl	APSctrl	APSctrl	2	Vals	Extraction108	T39	APS	Extraction108	Vals	F29		
LW105-Extraction116	LW105	LW105-Extraction116_S98_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW105	MB10to20	1	2	LW105Extraction116	F21	APS	low	APSctrl	APSctrl	APSctrl	2	Vals	Extraction116	T31	APS	Extraction116	Vals	F21		
LW106-Extraction103	LW106	LW106-Extraction103_S110_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW106	2MB	2	2	LW106Extraction103	F22	APS	low	APSctrl	APSctrl	APSctrl	2	Vals	Extraction103	T32	APS	Extraction103	Vals	F22		
LW107-Extraction104	LW107	LW107-Extraction104_S122_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW107	MB10to20	3	2	LW107Extraction104	F23	APS	low	APSctrl	APSctrl	APSctrl	2	Vals	Extraction104	T33	APS	Extraction104	Vals	F23		
LW108-Extraction107	LW108	LW108-Extraction107_S134_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW108	MB10to20	4	2	LW108Extraction107	F24	APS	low	APSctrl	APSctrl	APSctrl	2	Vals	Extraction107	T38	APS	Extraction107	Vals	F28		
LW109-Extraction109	LW109	LW109-Extraction109_S146_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW109	MB20	5	2	LW109Extraction109	F25	APS	low	APSctrl	APSctrl	APSctrl	2	Vals	Extraction109	T39	APS	Extraction109	Vals	F29		
LW110-Extraction127	LW110	LW110-Extraction127_S158_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW110	MB10to20	6	2	LW110Extraction127	F21	APS	low	APSctrl	APSctrl	APSctrl	2	Vals	Extraction127	T31	APS	Extraction127	Vals	F21		
LW111-Extraction128	LW111	LW111-Extraction128_S170_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW111	2MB	7	2	LW111Extraction128	F22	APS	low	APSctrl	APSctrl	APSctrl	2	Vals	Extraction128	T32	APS	Extraction128	Vals	F22		
LW112-Extraction129	LW112	LW112-Extraction129_S182_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW112	MB10to20	8	2	LW112Extraction129	F23	APS	low	APSctrl	APSctrl	APSctrl	2	Vals	Extraction129	T33	APS	Extraction129	Vals	F23		
LW113-Extraction130	LW113	LW113-Extraction130_S99_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW113	2MB	1	3	LW113Extraction130	F24	APS	low	APSctrl	APSctrl	APSctrl	2	Vals	Extraction130	T38	APS	Extraction130	Vals	F28		
LW114-Extraction131	LW114	LW114-Extraction131_S111_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW114	2MB	2	3	LW114Extraction131	F25	APS	low	APSctrl	APSctrl	APSctrl	2	Vals	Extraction131	T39	APS	Extraction131	Vals	F29		
LW160-Extraction132	LW160	LW160-Extraction132_S188_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW160	MB10to20	8	8	LW160Extraction132	F26	APS	low	APSctrl	APSctrl	APSctrl	2	Vals	Extraction132	T40	APS	Extraction132	Vals	F30		
LW161-Extraction110	LW161	LW161-Extraction110_S105_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW161	MB10to20	1	9	LW161Extraction110	F26	APS	low	APSctrl	APSctrl	APSctrl	2	Vals	Extraction110	T40	APS	Extraction110	Vals	F30		
LW162-Extraction111	LW162	LW162-Extraction111_S117_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW162	2MB	2	9	LW162Extraction111	F26	APS	low	APSctrl	APSctrl	APSctrl	2	Vals	Extraction111	T40	APS	Extraction111	Vals	F30		
LW184-Extraction208	LW184	LW184-Extraction208_S191_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW184	2MB	8	11	LW184Extraction193	F21	APS	low	APSunfert	APSunfert	APSunfert	2	Vals	Extraction193	T31	APS	NA	Vals	NA		
LW185-Extraction209	LW185	LW185-Extraction209_S108_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW185	2MB	1	12	LW185Extraction194	F22	APS	low	APSunfert	APSunfert	APSunfert	2	Vals	Extraction194	T32	APS	NA	Vals	NA		
LW186-Extraction210	LW186	LW186-Extraction210_S120_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW186	2MB	2	12	LW186Extraction195	F23	APS	low	APSunfert	APSunfert	APSunfert	2	Vals	Extraction195	T33	APS	NA	Vals	NA		
LW187-Extraction211	LW187	LW187-Extraction211_S132_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW187	2MB	3	12	LW187Extraction196	F28	APS	low	APSunfert	APSunfert	APSunfert	2	Vals	Extraction196	T38	APS	NA	Vals	NA		
LW188-Extraction212	LW188	LW188-Extraction212_S144_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW188	2MB	4	12	LW188Extraction197	F29	APS	low	APSunfert	APSunfert	APSunfert	2	Vals	Extraction197	T39	APS	NA	Vals	NA		
LW189-Extraction213	LW189	LW189-Extraction213_S156_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	Vals	yes	yes	no	yes	no	no	no	no	no	LW189	2MB	5	12	LW189Extraction198	F30	APS	low	APSunfert	APSunfert	APSunfert	2	Vals	Extraction198	T40	APS	NA	Vals	NA		
LW89-27	LW89	LW89-27_S150_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	Vals	yes	no	no	no	no	sperm	no	no	sperm	LW89	NA	1	12	LW89Extraction27	T31	sperm	low	Milt	Milt	Milt	1	Vals	Extraction27	T31	sperm	Extraction27	Vals	NA		
